Sales Person,Country,Product,Date,Amount,Boxes Shipped,Amount_numeric,Date_converted,Amount_numeric_IQR_capped,Boxes Shipped_IQR_capped,Amount_numeric_IQR_capped_MinMax,Boxes Shipped_IQR_capped_MinMax,Amount_numeric_IQR_capped_Zscore,Boxes Shipped_IQR_capped_Zscore,PC1,PC2
Jehu Rudeforth,Australia,Mint Chip Choco,04-01-2022,"$5,320.00",180,5320.0,2022-01-04,5320.0,180.0,0.30193929076659926,0.37883597883597886,-0.15785946281937913,0.14423827333722314,-0.2136153578174382,-0.009631635450657598
Jehu Rudeforth,UK,Mint Chip Choco,04-01-2022,"$5,320.00",180,5320.0,2022-01-04,5320.0,180.0,0.30193929076659926,0.37883597883597886,-0.15785946281937913,0.14423827333722314,-0.2136153578174382,-0.009631635450657598
Van Tuxwell,India,85% Dark Bars,01-08-2022,"$7,896.00",94,7896.0,2022-08-01,7896.0,94.0,0.4483340984110111,0.19682539682539682,0.44251002993301347,-0.5815881942601339,0.7241467989280745,-0.09834311311069084
Gigi Bohling,India,Peanut Butter Cubes,07-07-2022,"$4,501.00",91,4501.0,2022-07-07,4501.0,91.0,0.2553952894231314,0.19047619047619047,-0.34873780698250395,-0.6069077221995766,0.1825536977483415,-0.6757434340952577
Jan Morforth,Australia,Peanut Butter Cubes,27-04-2022,"$12,726.00",342,12726.0,2022-04-27,12726.0,342.0,0.7228243627442831,0.7216931216931218,1.5682028288437497,1.5114927820671282,0.040100058637175744,2.177673650465528
Jehu Rudeforth,UK,Peanut Butter Cubes,24-02-2022,"$13,685.00",184,13685.0,2022-02-24,13685.0,184.0,0.777324603633643,0.3873015873015873,1.7917099497868958,0.17799764392314674,1.14106691436045,1.392793596466997
Van Tuxwell,India,Smooth Sliky Salty,06-06-2022,"$5,376.00",38,5376.0,2022-06-06,5376.0,38.0,0.30512178658495603,0.07830687830687831,-0.1448079521073706,-1.054219382463064,0.6430509892930601,-0.8478403591027918
Oby Sorrel,UK,99% Dark & Pure,25-01-2022,"$13,685.00",176,13685.0,2022-01-25,13685.0,176.0,0.777324603633643,0.3703703703703704,1.7917099497868958,0.11047890275129957,1.188809874100242,1.3450506367272042
Gunar Cockshoot,Australia,After Nines,24-03-2022,"$3,080.00",73,3080.0,2022-03-24,3080.0,73.0,0.17463945803232817,0.15238095238095237,-0.6799198912997205,-0.7588248898362326,0.055794259534672506,-1.0173461911379884
Jehu Rudeforth,New Zealand,50% Dark Bites,20-04-2022,"$3,990.00",59,3990.0,2022-04-20,3990.0,59.0,0.2263550150806258,0.12275132275132276,-0.4678328422295818,-0.8769826868869652,0.28931262967864907,-0.9509281800832882
Brien Boise,Australia,99% Dark & Pure,04-07-2022,"$2,835.00",102,2835.0,2022-07-04,2835.0,102.0,0.16071603882701727,0.21375661375661376,-0.7370202506647578,-0.5140694530882867,-0.1576500208372806,-0.8846540133964452
Rafaelita Blaksland,UK,Smooth Sliky Salty,13-01-2022,"$4,704.00",62,4704.0,2022-01-13,4704.0,62.0,0.26693183676467475,0.1291005291005291,-0.301426080651473,-0.8516631589475225,0.38907636932340195,-0.8153572206336932
Barr Faughny,USA,Orange Choco,10-03-2022,"$3,703.00",11,3703.0,2022-03-10,3703.0,11.0,0.21004472401154733,0.021164021164021166,-0.5347218346286255,-1.2820951339180482,0.5284727280053015,-1.2846835986341445
Mallorie Waber,Canada,Eclairs,13-01-2022,"$1,442.00",286,1442.0,2022-01-13,1442.0,286.0,0.08155145534539243,0.6031746031746033,-1.0616765796259702,1.038861593864198,-1.4853047866161029,-0.016132631144809863
Karlen McCaffrey,New Zealand,Drinking Coco,28-07-2022,$168.00,156,168.0,2022-07-28,168.0,156.0,0.009149675477775735,0.3280423280423281,-1.3585984483241644,-0.05831795017831834,-0.9194371576835594,-1.0019111937555176
Marney O'Breen,New Zealand,Peanut Butter Cubes,03-08-2022,"$8,379.00",173,8379.0,2022-08-03,8379.0,173.0,0.47578312484433827,0.364021164021164,0.5550793098240872,0.08515937481185688,0.3322835726618938,0.4527171154840281
Beverie Moffet,Australia,Organic Choco Syrup,26-01-2022,"$6,790.00",356,6790.0,2022-01-26,6790.0,356.0,0.3854798059984647,0.7513227513227514,0.18474269337084492,1.6296505791178608,-1.0217041642016202,1.2829697867160244
Van Tuxwell,Canada,Organic Choco Syrup,14-02-2022,"$4,067.00",42,4067.0,2022-02-14,4067.0,42.0,0.23073094683086637,0.08677248677248678,-0.4498870150005701,-1.0204600118771405,0.4034560352533437,-1.039692353402712
Roddy Speechley,USA,Smooth Sliky Salty,05-04-2022,"$3,017.00",140,3017.0,2022-04-05,3017.0,140.0,0.17105915023667678,0.2941798941798942,-0.6946028408507301,-0.19335543252201268,-0.35443544148142453,-0.6278813165125614
Beverie Moffet,Canada,Milk Bars,16-02-2022,"$8,799.00",250,8799.0,2022-02-16,8799.0,250.0,0.4996518434820141,0.5269841269841271,0.6529656401641512,0.7350272585908858,-0.058026326864677985,0.9814591909484599
Curtice Advani,UK,85% Dark Bars,08-06-2022,"$1,085.00",172,1085.0,2022-06-08,1085.0,172.0,0.06126304450336797,0.3619047619047619,-1.1448799604150246,0.07671953216537598,-0.8638012850976541,-0.7553034822104452
Brien Boise,Australia,Eclairs,27-06-2022,"$6,888.00",88,6888.0,2022-06-27,6888.0,88.0,0.39104917368058906,0.18412698412698414,0.20758283711685985,-0.6322272501390193,0.5938354076074952,-0.3002689440409558
Gunar Cockshoot,USA,Spicy Special Slims,17-02-2022,"$1,267.00",157,1267.0,2022-02-17,1267.0,157.0,0.0716061559130275,0.33015873015873015,-1.1024625506009968,-0.04987810753183745,-0.7442895974656759,-0.8148278936026894
Marney O'Breen,USA,After Nines,30-05-2022,"$4,753.00",163,4753.0,2022-05-30,4753.0,163.0,0.2697165206057369,0.34285714285714286,-0.29000600877846555,0.0007609483470479261,-0.20560328712843084,-0.2045271436557664
Husein Augar,UK,Drinking Coco,14-03-2022,"$3,003.00",113,3003.0,2022-03-14,3003.0,113.0,0.1702635262820876,0.23703703703703705,-0.6978657185287322,-0.4212311839769968,-0.19561015529192405,-0.79132100856666
Kaine Padly,Australia,Eclairs,28-02-2022,"$7,672.00",115,7672.0,2022-02-28,7672.0,115.0,0.43560411513758396,0.24126984126984127,0.3903039870849794,-0.4043514986840351,0.5619062826943597,-0.00993309071049447
Karlen McCaffrey,India,Fruit & Nut Bars,26-01-2022,$168.00,321,168.0,2022-01-26,168.0,321.0,0.009149675477775735,0.6772486772486773,-1.3585984483241644,1.3342560864910293,-1.9041357023167698,-0.01721264912228876
Roddy Speechley,Canada,Spicy Special Slims,09-02-2022,"$1,652.00",186,1652.0,2022-02-09,1652.0,186.0,0.09348581466423035,0.39153439153439157,-1.0127334144559381,0.19487732921610854,-0.8539097458842394,-0.5783115839077587
Husein Augar,USA,Eclairs,07-07-2022,"$4,025.00",112,4025.0,2022-07-07,4025.0,112.0,0.2283440749670988,0.23492063492063492,-0.4596756480345765,-0.4296710266234777,-0.02121647126672915,-0.6288630644764164
Dennison Crosswaite,New Zealand,White Choc,05-07-2022,"$9,492.00",151,9492.0,2022-07-05,9492.0,151.0,0.5390352292341792,0.3174603174603175,0.8144780852252568,-0.10051716341072282,0.6469993450639768,0.504846609317249
Dennison Crosswaite,New Zealand,Manuka Honey Choco,15-06-2022,"$5,061.00",301,5061.0,2022-06-15,5061.0,301.0,0.2872202476066992,0.634920634920635,-0.2182226998624186,1.1654592335614116,-0.9784108781292972,0.6697973763662065
Van Tuxwell,New Zealand,85% Dark Bars,24-05-2022,"$1,722.00",121,1722.0,2022-05-24,1722.0,121.0,0.09746393443717632,0.25396825396825395,-0.9964190260659275,-0.3537124428051497,-0.45446218333694155,-0.9546871171320885
Rafaelita Blaksland,UK,99% Dark & Pure,29-06-2022,"$12,446.00",150,12446.0,2022-06-29,12446.0,150.0,0.7069118836524992,0.31534391534391537,1.502945275283707,-0.10895700605720371,1.139787033746233,0.9856985580645481
Wilone O'Kielt,Australia,Manuka Honey Choco,11-05-2022,"$4,284.00",94,4284.0,2022-05-11,4284.0,94.0,0.24306311812699888,0.19682539682539682,-0.399312410991537,-0.5815881942601339,0.12888844239530747,-0.6936014696434467
Karlen McCaffrey,UK,Almond Choco,30-06-2022,"$6,839.00",133,6839.0,2022-06-30,6839.0,133.0,0.3882644898395269,0.27936507936507937,0.1961627652438524,-0.25243433104737895,0.3172060488081237,-0.03979000576766187
Andria Kimpton,Canada,After Nines,11-05-2022,"$2,163.00",70,2163.0,2022-05-11,2163.0,70.0,0.12252608900673595,0.14603174603174604,-0.8936383792088604,-0.7841444177756753,-0.07742392262839486,-1.1863715931058971
